"ses.mntd.ntaxa","ses.mntd.mntd.obs","ses.mntd.mntd.rand.mean","ses.mntd.mntd.rand.sd","ses.mntd.mntd.obs.rank","ses.mntd.mntd.obs.z","ses.mntd.mntd.obs.p","ses.mntd.runs","ses.mpd.ntaxa","ses.mpd.mpd.obs","ses.mpd.mpd.rand.mean","ses.mpd.mpd.rand.sd","ses.mpd.mpd.obs.rank","ses.mpd.mpd.obs.z","ses.mpd.mpd.obs.p","ses.mpd.runs","gamma","area","month","tree_size"
3,0.909249713702896,0.949260988649487,0.144915597538015,182,-0.276100541462387,0.181818181818182,1000,3,0.922000169076303,1.00538323205354,0.0931222057208085,140,-0.895415463280905,0.13986013986014,1000,-1.68858687841145,"North Macedonia",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Norway",2020-08-01,63
2,1.16767495688691,1.00431585102764,0.151137521701153,990.5,1.08086399737507,0.989510489510489,1000,2,1.16767495688691,1.00504142641328,0.147685219379077,995,1.10121738084153,0.994005994005994,1000,NA,"Poland",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Portugal",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Romania",2020-08-01,63
2,0.907442260227526,1.01085971245765,0.142405100764511,124,-0.726220140113792,0.123876123876124,1000,2,0.907442260227526,1.01224921954885,0.134525428339446,127.5,-0.779086605521674,0.127372627372627,1000,NA,"Russia",2020-08-01,63
3,0.517836676653512,0.960834220578717,0.124154206247198,28,-3.56812352408886,0.027972027972028,1000,3,0.725451320299574,1.01284949400041,0.0834779421958062,12,-3.44280376517564,0.011988011988012,1000,0.421876640941653,"Serbia",2020-08-01,63
2,0.44974414238618,1.00452231311134,0.144420949415893,17,-3.84139678466972,0.016983016983017,1000,2,0.44974414238618,1.00266850367654,0.142569655395624,18.5,-3.878275217514,0.0184815184815185,1000,NA,"Spain",2020-08-01,63
2,1.08843998420957,1.00692912931131,0.141899189698033,716.5,0.574427909501926,0.715784215784216,1000,2,1.08843998420957,1.01316566112022,0.124078159263102,715.5,0.606668599344233,0.714785214785215,1000,NA,"Sweden",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Switzerland",2020-08-01,63
2,1.02559845415476,1.01459728128857,0.131363468909667,421,0.0837460593687156,0.420579420579421,1000,2,1.02559845415476,1.01736666526542,0.125330802511481,416.5,0.065680492938591,0.416083916083916,1000,NA,"Turkey",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Ukraine",2020-08-01,63
3,0.937619698007438,0.96079809498041,0.123757356903822,292.5,-0.187289043276715,0.292207792207792,1000,3,0.947637912943719,1.01149508585293,0.0843164587245894,196,-0.757351220332855,0.195804195804196,1000,-1.73205080756888,"United Kingdom",2020-08-01,63
1,NA,NA,NA,NA,NA,NA,1000,1,NA,NA,NA,NA,NA,NA,1000,NA,"Albania",2020-09-01,80
3,1.14302366711809,1.13688664012158,0.174186893743185,322,0.0352324268756572,0.321678321678322,1000,3,1.18904694406092,1.19693491529957,0.114206548786171,280.5,-0.0690675913289341,0.28021978021978,1000,-1.47331181177149,"Austria",2020-09-01,80
4,0.458381837262039,1.08417674203968,0.180845521758029,5,-3.46038375014315,0.004995004995005,1000,4,0.750942099326873,1.19946502768016,0.0763533034370336,2,-5.87430940330134,0.001998001998002,1000,1.15081160675475,"Belgium",2020-09-01,80
